ID,ANO,OP,PARTIDO,ENVOLVIDOS,JUIZ,ORGAO
568,2008,Operação Miami,PT,,Marcelo Bretas,
569,2008,Operação Houdini,PT,,Marcelo Bretas,
570,2008,Operação Quixadá,PT,,Marcelo Bretas,
571,2008,Operação Loki,PT,,Marcelo Bretas,
572,2008,Operação Posto Seguro,PT,,Marcelo Bretas,
573,2008,Operação Epidemia,PT,,Marcelo Bretas,
574,2008,Operação Arredores II,PT,,Marcelo Bretas,
575,2008,Operação Serpente Negra,PT,,Marcelo Bretas,
576,2008,Operação Arquipélago,PT,,Marcelo Bretas,
577,2008,Operação I-Commerce II,PT,,Marcelo Bretas,
578,2008,Operação Play Back,PT,,Marcelo Bretas,
579,2008,Operação Olympia,PT,,Marcelo Bretas,
580,2008,Operação Mão Invisível,PT,,Marcelo Bretas,
581,2008,Operação Satiagraha,PT,,Marcelo Bretas,
582,2008,Operação Bicho Mineiro,PT,,Marcelo Bretas,
583,2008,Operação Colheita Norte,PT,,Marcelo Bretas,
584,2008,Operação Combate,PT,,Marcelo Bretas,
585,2008,Operação Mãos Dadas,PT,,Marcelo Bretas,
586,2008,Operação Toque de Midas,PT,,Marcelo Bretas,
587,2008,Operação San Lucca,PT,,Marcelo Bretas,
588,2008,Operação Kirão,PT,,Marcelo Bretas,
589,2008,Operação Akator,PT,,Marcelo Bretas,
590,2008,Operação Ferreiro,PT,,Marcelo Bretas,
591,2008,Operação Norne,PT,,Marcelo Bretas,
592,2008,Operação Cascavel,PT,,Marcelo Bretas,
593,2008,Operação Psicose,PT,,Marcelo Bretas,
594,2008,Operação Pedra Redonda,PT,,Marcelo Bretas,
595,2008,Operação Deja Vu,PT,,Marcelo Bretas,
596,2008,Operação Avalanche,PT,,Marcelo Bretas,
597,2008,Operação Boi Branco,PT,,Marcelo Bretas,
598,2009,Operação Caixa de Pandora,PT,,Marcelo Bretas,
599,2009,Operação Castelo de Areia,PT,,Marcelo Bretas,
600,2010,Operação Maet,PT,,Marcelo Bretas,
601,2011,Operação Refino,PT,,Marcelo Bretas,
602,2011,Operação Ilusão de Ótica,PT,,Marcelo Bretas,
603,2011,Operação Dedicado,PT,,Marcelo Bretas,
604,2012,Operação Intolerância,PT,,Marcelo Bretas,
605,2012,Operação Porto Seguro,PT,,Marcelo Bretas,
606,2012,Operação Durkheim,PT,,Marcelo Bretas,
607,2012,Operação Crackalves,PT,,Marcelo Bretas,
608,2013,Operação Garina,PT,,Marcelo Bretas,
609,2013,Operação Planeta,PT,,Marcelo Bretas,
610,2013,Operação Concutare,PT,,Marcelo Bretas,
611,2013,Operação G-7,PT,,Marcelo Bretas,
612,2013,Operação Ararath,PT,,Marcelo Bretas,
613,2013,Operação Miquéias,PT,,Marcelo Bretas,
614,2014,Operação Luíz O Espalha Lixo,PT,,Marcelo Bretas,
615,2014,Operação Éskhara,PT,,Marcelo Bretas,
616,2014,Operação Darknet,PT,,Marcelo Bretas,
617,2014,Operação Lava Jato,PT,,Marcelo Bretas,
618,2014,Operação Bidone,PT,,Marcelo Bretas,
619,2014,Operação Dolce Vita,PT,,Marcelo Bretas,
620,2014,Operação Casablanca,PT,,Marcelo Bretas,
621,2014,Operação Bidone II,PT,,Marcelo Bretas,
622,2014,Operação Bidone III,PT,,Marcelo Bretas,
623,2014,Operação Juízo Final,PT,,Marcelo Bretas,
624,2014,Operação Carmelina,PT,,Marcelo Bretas,
625,2014,Operação Gafanhotos,PT,,Marcelo Bretas,
626,2015,Operação Zaqueu,PT,,Marcelo Bretas,
627,2015,Operação Pulso,PT,,Marcelo Bretas,
628,2015,Operação Zelotes,PT,,Marcelo Bretas,
629,2015,Operação Zelotes (2ª fase),PT,,Marcelo Bretas,
630,2015,Operação Zelotes (3ª fase),PT,,Marcelo Bretas,
631,2015,Operação Zelotes (4ª fase),PT,,Marcelo Bretas,
632,2015,Operação Zelotes (5ª fase),PT,,Marcelo Bretas,
633,2015,Operação Acrônimo,PT,,Marcelo Bretas,
634,2015,Operação Andaime II,PT,,Marcelo Bretas,
635,2015,Operação Lava Jato,PT,,Marcelo Bretas,
636,2015,Operação Lava Jato (8ª fase),PT,,Marcelo Bretas,
637,2015,Operação My Way,PT,,Marcelo Bretas,
638,2015,Operação Que País é esse,PT,,Marcelo Bretas,
639,2015,Operação A Origem,PT,,Marcelo Bretas,
640,2015,Operação Lava Jato (12ª fase),PT,,Marcelo Bretas,
641,2015,Operação Lava Jato (13ª fase),PT,,Marcelo Bretas,
642,2015,Operação Erga Omnes,PT,,Marcelo Bretas,
643,2015,Operação Ponto Final,PT,,Marcelo Bretas,
644,2015,Operação Conexão Mônaco,PT,,Marcelo Bretas,
645,2015,Operação Politeia,PT,,Marcelo Bretas,
646,2015,Operação Radiotividade,PT,,Marcelo Bretas,
647,2015,Operação Pixuleco,PT,,Marcelo Bretas,
648,2015,Operação Pixuleco II,PT,,Marcelo Bretas,
649,2015,Operação Nessun Dorma,PT,,Marcelo Bretas,
650,2015,Operação Corrosão,PT,,Marcelo Bretas,
651,2015,Operação Passe Livre,PT,,Marcelo Bretas,
652,2015,Operação Crátons,PT,,Marcelo Bretas,
653,2015,Operação Vidas Secas,PT,,Marcelo Bretas,
654,2015,Operação Catilinárias,PT,,Marcelo Bretas,
655,2015,Operação Sangue Negro,PT,,Marcelo Bretas,
656,2015,Operação Gol Contra,PT,,Marcelo Bretas,
657,2015,Operação Expresso 150,PT,,Marcelo Bretas,
658,2015,Operação Asclépia,PT,,Marcelo Bretas,
659,2016,Operação Dupla Face,PT,,Marcelo Bretas,
660,2016,Operação Lava Jato,PT,,Marcelo Bretas,
661,2016,Operação Triplo X,PT,,Marcelo Bretas,
662,2016,Operação Acarajé,PT,,Marcelo Bretas,
663,2016,Operação O Recebedor,PT,,Marcelo Bretas,
664,2016,Operação Aletheia,PT,,Marcelo Bretas,
665,2016,Desdobramento da Operação Acarajé,PT,,Marcelo Bretas,
666,2016,Operação Polimento,PT,,Marcelo Bretas,
667,2016,Operação Xepa,PT,,Marcelo Bretas,
668,2016,Operação Carbono 14,PT,,Marcelo Bretas,
669,2016,Operação Vitória de Pirro,PT,,Marcelo Bretas,
670,2016,Operação Janus,PT,,Marcelo Bretas,
671,2016,Operação Repescagem,PT,,Marcelo Bretas,
672,2016,Operação Vício,PT,,Marcelo Bretas,
673,2016,Operação Custo Brasil,PT,,Marcelo Bretas,
674,2016,Operação Tabela Periódica,PT,,Marcelo Bretas,
675,2016,Operação Sépsis,PT,,Marcelo Bretas,
676,2016,Operação Abismo,PT,,Marcelo Bretas,
677,2016,Operação Pripyat,PT,,Marcelo Bretas,
678,2016,Operação Caça-Fantasmas,PT,,Marcelo Bretas,
679,2016,Operação Resta Um,PT,,Marcelo Bretas,
680,2016,Operação Irmandade,PT,,Marcelo Bretas,
681,2016,Operação Arquivo X,PT,,Marcelo Bretas,
682,2016,Operação Omertà,PT,,Marcelo Bretas,
683,2016,Operação Dragão,PT,,Marcelo Bretas,
684,2016,Operação Calicute,PT,,Marcelo Bretas,
685,2016,Operação Deflexão,PT,,Marcelo Bretas,
686,2016,Operação Descontrole,PT,,Marcelo Bretas,
687,2016,Operação Zelotes,PT,,Marcelo Bretas,
688,2016,Operação Zelotes (6º fase),PT,,Marcelo Bretas,
689,2016,Operação Zelotes (7ª fase),PT,,Marcelo Bretas,
690,2016,Operação Zelotes (8ª fase),PT,,Marcelo Bretas,
691,2016,Operação Créditos Podres,PT,,Marcelo Bretas,
692,2016,Operação Falsa Morada[84],PT,,Marcelo Bretas,
693,2016,Operação Acrônimo (12 fases),PT,,Marcelo Bretas,
694,2016,Operação Acrônimo (5º fase),PT,,Marcelo Bretas,
695,2016,Operação Mar de Lama (8 fases),PT,,Marcelo Bretas,
696,2016,Operação Esfinge,PT,,Marcelo Bretas,
697,2016,Operação Bota-Fora,PT,,Marcelo Bretas,
698,2016,Operação Turbulência,PT,,Marcelo Bretas,
699,2016,Operação Recomeço,PT,,Marcelo Bretas,
700,2016,Operação Boca Livre (2 fases),PT,,Marcelo Bretas,
701,2016,Operação Lázaro,PT,,Marcelo Bretas,
702,2016,Operação Saqueador,PT,,Marcelo Bretas,
703,2016,Operação Black List,PT,,Marcelo Bretas,
704,2016,Operação Quatro Mãos,PT,,Marcelo Bretas,
705,2016,Operação Mato Cerrado,PT,,Marcelo Bretas,
706,2016,Operação Inversão,PT,,Marcelo Bretas,
707,2016,Operação Dopamina,PT,,Marcelo Bretas,
708,2016,Operação Ali Babá,PT,,Marcelo Bretas,
709,2016,Operação Hashtag (4 fases),PT,,Marcelo Bretas,
710,2016,Operação Decantação,PT,,Marcelo Bretas,
711,2016,Operação Sevandija,PT,,Marcelo Bretas,
712,2016,Operação Greenfield,PT,,Marcelo Bretas,
713,2016,Operação Véu Protetor,PT,,Marcelo Bretas,
714,2016,Operação Ápia,PT,,Marcelo Bretas,
715,2016,Operação For All,PT,,Marcelo Bretas,
716,2016,Operação Métis,PT,,Marcelo Bretas,
717,2016,Operação Chequinho,PT,,Marcelo Bretas,
718,2016,Operação Nenhures (3 fases),PT,,Marcelo Bretas,
719,2016,Operação Darknet (2 fases),PT,,Marcelo Bretas,
720,2016,Operação Rios Voadores,PT,,Marcelo Bretas,
721,2016,Operação Barba Negra,PT,,Marcelo Bretas,
722,2016,Operação Fides,PT,,Marcelo Bretas,
723,2016,Operação Livre Concorrência,PT,,Marcelo Bretas,
724,2016,Operação Larva,PT,,Marcelo Bretas,
725,2016,Operação Ilusionista,PT,,Marcelo Bretas,
726,2016,Operação Sevandija,PT,,Marcelo Bretas,
727,2016,Operação Mamãe Noel,PT,,Marcelo Bretas,
728,2016,Operação Segurança,PT,,Marcelo Bretas,
729,2016,Operação Bagration,PT,,Marcelo Bretas,
730,2016,Operação Curadoria,PT,,Marcelo Bretas,
731,2016,Operação Niágara,PT,,Marcelo Bretas,
732,2016,Operação Falsário,PT,,Marcelo Bretas,
733,2016,Operação Leopoldo,PT,,Marcelo Bretas,
734,2016,Operação Hidra de Lerna,PT,,Marcelo Bretas,
735,2016,Operação Simão,PT,,Marcelo Bretas,
736,2016,Operação Expresso 150,PT,,Marcelo Bretas,
737,2016,Operação Expresso 150 (2a fase),PT,,Marcelo Bretas,
738,2016,Operação Alanis,PT,,Marcelo Bretas,
739,2016,Operação Embuste,PT,,Marcelo Bretas,
740,2016,Operação Jogo Limpo,PT,,Marcelo Bretas,
741,2016,Operação Default,PT,,Marcelo Bretas,
742,2016,Operação Hefasta,PT,,Marcelo Bretas,
743,2016,Operação Wolverine,PT,,Marcelo Bretas,
744,2017,Operação Lava Jato,PT,,Marcelo Bretas,
745,2017,Operação Cui Bono?,PT,,Marcelo Bretas,
746,2017,Operação Eficiência,PT,,Marcelo Bretas,
747,2017,Operação Mascate,PT,,Marcelo Bretas,
748,2017,Operação Leviatã,PT,,Marcelo Bretas,
749,2017,Operação Blackout,PT,,Marcelo Bretas,
750,2017,Operação Tolypeutes,PT,,Marcelo Bretas,
751,2017,Operação Satélites,PT,,Marcelo Bretas,
752,2017,Operação Paralelo,PT,,Marcelo Bretas,
753,2017,Operação O Quinto do Ouro,PT,,Marcelo Bretas,
754,2017,Operação Fatura Exposta,PT,,Marcelo Bretas,
755,2017,Operação Ratatouille,PT,,Marcelo Bretas,
756,2017,Operação Tesouro Perdido,PT,,Marcelo Bretas,
757,2017,Operação Unfair Play,PT,,Marcelo Bretas,
758,2017,Operação Unfair Play 2º tempo,PT,,Marcelo Bretas,
759,2017,Operação Antiquários,PT,,Marcelo Bretas,
760,2017,Operação Vórtex,PT,,Marcelo Bretas,
761,2017,Operação Crisol,PT,,Marcelo Bretas,
762,2017,Operação Cosa Nostra,PT,,Marcelo Bretas,
763,2017,Operação Fogo de Palha,PT,,Marcelo Bretas,
764,2017,Operação Carne Fraca,PT,,Marcelo Bretas,
765,2017,Operação Research,PT,,Marcelo Bretas,
766,2017,Operação Perfídia,PT,,Marcelo Bretas,
767,2017,Operação Águas Claras,PT,,Marcelo Bretas,
768,2017,Operação Stellio Natus,PT,,Marcelo Bretas,
769,2017,Operação Conclave,PT,,Marcelo Bretas,
770,2017,Operação Lucas,PT,,Marcelo Bretas,
771,2017,Operação Bullish,PT,,Marcelo Bretas,
772,2017,Operação Panatenaico,PT,,Marcelo Bretas,
773,2017,Operação Hoder,PT,,Marcelo Bretas,
774,2017,Operação Proteina,PT,,Marcelo Bretas,
775,2017,Operação Grajaú,PT,,Marcelo Bretas,
776,2017,Operação Ponto Final,PT,,Marcelo Bretas,
777,2017,Operação Papel Fantasma,PT,,Marcelo Bretas,
778,2017,Operação Adsumus,PT,,Marcelo Bretas,
779,2017,Operação Ostrich,PT,,Marcelo Bretas,
780,2017,Operação Ex-Fumo,PT,,Marcelo Bretas,
781,2017,Operação Brabo,PT,,Marcelo Bretas,
782,2017,Operação Hammer-on,PT,,Marcelo Bretas,
783,2017,Operação Anteros,PT,,Marcelo Bretas,
784,2017,Operação Rosas dos Ventos,PT,,Marcelo Bretas,
785,2017,Operação Étimo,PT,,Marcelo Bretas,
786,2017,Operação Conexão Venezuela,PT,,Marcelo Bretas,
787,2017,Operação Fraternidade,PT,,Marcelo Bretas,
788,2017,Operação Ouvidos Moucos,PT,,Marcelo Bretas,
789,2017,Operação Malebolge,PT,,Marcelo Bretas,
790,2017,Operação Afronta,PT,,Marcelo Bretas,
791,2017,Operação Inimigo Oculto,PT,,Marcelo Bretas,
792,2017,Operação Moneda,PT,,Marcelo Bretas,
793,2017,Operação Anel de Gigantes,PT,,Marcelo Bretas,
794,2017,Operação Marcapasso,PT,,Marcelo Bretas,
795,2017,Operação Passe Fácil,PT,,Marcelo Bretas,
796,2017,Operação Backbone,PT,,Marcelo Bretas,
797,2017,Operação República Velha,PT,,Marcelo Bretas,
798,2017,Operação Cadeia Velha,PT,,Marcelo Bretas,
799,2017,Operação Sothis,PT,,Marcelo Bretas,
800,2017,Operação Rush,PT,,Marcelo Bretas,
801,2017,Operação Ápia (sexta fase),PT,,Marcelo Bretas,
802,2017,Operação Ápia,PT,,Marcelo Bretas,
803,2018,"Operação Integração, 48.ª fase da Operação Lava Jato ",PT,,Marcelo Bretas,
804,2018,Operação Zona Cinzenta,PT,,Marcelo Bretas,
805,2018,Operação Pausare,PT,,Marcelo Bretas,
806,2018,Operação Endemia,PT,,Marcelo Bretas,
807,2018,"Operação Jabuti, desdobramento da Operação Lava Jato",PT,,Marcelo Bretas,
808,2018,Operação Elemento 79,PT,,Marcelo Bretas,
809,2018,"Operação Descarte, desdobramento da Operação Lava Jato",PT,,Marcelo Bretas,
810,2018,"Operação Trapaça, fase 3, batizada da Operação Carne Fraca",PT,,Marcelo Bretas,
811,2018,Operação Pontes de Papel,PT,,Marcelo Bretas,
812,2018,Operação Terra Prometida,PT,,Marcelo Bretas,
813,2018,"Operação Voto Livre, operação de combate à fake news",PT,,Marcelo Bretas,
814,2018,Operação Pão Nosso,PT,,Marcelo Bretas,
815,2018,Operação Tristitia,PT,,Marcelo Bretas,
816,2018,Operação Philoteus,PT,,Marcelo Bretas,
817,2018,Operação Tira Teima,PT,,Marcelo Bretas,
818,2018,Operação Garabulha,PT,,Marcelo Bretas,
819,2018,"Operação Encilhamento, segunda fase da Operação Papel Fantasma",PT,,Marcelo Bretas,
820,2018,"Operação Rizoma, desdobramento da Operação Lava Jato no Rio de Janeiro ",PT,,Marcelo Bretas,
821,2018,"Operação Apate, contra fraudes na Lei Rouanet",PT,,Marcelo Bretas,
822,2018,Operação Prato Feito,PT,,Marcelo Bretas,
823,2018,"Operação Déjà vu, 51ª fase da Operação Lava Jato",PT,,Marcelo Bretas,
824,2018,Operação Luz en la Infância,PT,,Marcelo Bretas,
825,2018,Operação Aquiles,PT,,Marcelo Bretas,
826,2018,Operação Operação Anzol Sem Ponta,PT,,Marcelo Bretas,
827,2018,"Operação Greenwich, 52ª fase da Operação Lava Jato",PT,,Marcelo Bretas,
828,2018,Operação Laços de Família,PT,,Marcelo Bretas,
829,2018,Operação Registro Espúrio,PT,,Marcelo Bretas,
830,2018,Operação Line Up,PT,,Marcelo Bretas,
831,2018,Operação Ressonância,PT,,Marcelo Bretas,
832,2018,Operação Canário Pistola,PT,,Marcelo Bretas,
833,2018,Operação Golpes Master,PT,,Marcelo Bretas,
834,2018,Operação Rosa dos Ventos,PT,,Marcelo Bretas,
835,2018,"Operação Piloto, 53ª fase da Operação Lava Jato",PT,,Marcelo Bretas,
836,2018,Operação Vícios II,PT,,Marcelo Bretas,
837,2018,Operação Ghost Writer,PT,,Marcelo Bretas,
838,2018,Operação Fake Money,PT,,Marcelo Bretas,
839,2018,Operação Vostok,PT,,Marcelo Bretas,
840,2018,"Operação Integração II, 55.ª fase da Operação Lava Jato",PT,,Marcelo Bretas,
841,2018,Operação Cash Delivery,PT,,Marcelo Bretas,
842,2018,Operação Dolos,PT,,Marcelo Bretas,
843,2018,Operação Olhos de Lince,PT,,Marcelo Bretas,
844,2018,Operação Bravata,PT,,Marcelo Bretas,
845,2018,Operação Furna da Onça,PT,,Marcelo Bretas,
846,2019,Operação Quinto Ano,PT,,Marcelo Bretas,
847,2019,"Operação Ad Infinitum, 60º fase da Operação Lava Jato",PT,,Marcelo Bretas,
848,2019,Operação Disfarces de Mamom,PT,,Marcelo Bretas,
849,2019,Operação Inter Fratrem,PT,,Marcelo Bretas,
850,2019,Operação Juntos e Shallow Now,PT,,Marcelo Bretas,
851,2019,Operação Escobar,PT,,Marcelo Bretas,
852,2019,Operação Tergiversação,PT,,Marcelo Bretas,
853,2019,Operação Octopus,PT,,Marcelo Bretas,
854,2019,Operação Alcatraz,PT,,Marcelo Bretas,
855,2019,Operação Rock City,PT,,Marcelo Bretas,
856,2019,Operação Chabu,PT,,Marcelo Bretas,
857,2019,Operação Lamanai2,PT,,Marcelo Bretas,
858,2020,Operação Último Lance,PT,,Marcelo Bretas,
859,2020,Operação Narcos,PT,,Marcelo Bretas,
860,2020,Operação Hórus,PT,,Marcelo Bretas,
861,2020,Operação Calvário,PT,,Marcelo Bretas,
862,2020,Operação Virus Infectio,PT,,Marcelo Bretas,
863,2020,Operação Mercadores do Caos,PT,,Marcelo Bretas,
864,2020,Operação Favorito,PT,,Marcelo Bretas,
865,2020,Operação Dispneia,PT,,Marcelo Bretas,
866,2020,Operação Placebo,PT,,Marcelo Bretas,
867,2020,Operação Para Bellum,PT,,Marcelo Bretas,
868,2020,Operação Probitas,PT,,Marcelo Bretas,
869,2020,Operação Fiat Lux,PT, Othon Luiz Pinheiro da Silva,Marcelo Bretas,Eletronuclear